name,degree_measure,centrality,tax_id,Kingdom,Phylum,Class,Order,Family,Genus
Clostridia_bacterium,29470,0.08932597733054087,14874,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_unclassified,f__Clostridia_unclassified,g__Clostridia_unclassified
LKT_f__Ruminococcaceae,18928,0.05052360528483881,14843,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,LKT_f__Ruminococcaceae
Lachnospiraceae_bacterium,11774,0.03835085632223023,4688,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified
LKT_p__Firmicutes,8616,0.028430808465528406,6602,k__Bacteria,p__Firmicutes,LKT_p__Firmicutes,LKT_p__Firmicutes,LKT_p__Firmicutes,LKT_p__Firmicutes
Ruminococcaceae_bacterium,7756,0.02726211659167313,14925,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_unclassified
LKT_f__Lachnospiraceae,5306,0.01699690482007613,4777,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,LKT_f__Lachnospiraceae
LKT_f__Clostridia_unclassified,4712,0.016234323294102397,4328,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_unclassified,f__Clostridia_unclassified,LKT_f__Clostridia_unclassified
Faecalibacterium_prausnitzii,4036,0.010730013103105432,15342,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium
Clostridiaceae_bacterium,3384,0.011071547666936089,4269,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridiaceae_unclassified
LKT_f__Clostridiaceae,1954,0.00598208059384837,14987,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,LKT_f__Clostridiaceae
